name;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc_de[0];pcm_fftMag_mfcc_de[1];pcm_fftMag_mfcc_de[2];pcm_fftMag_mfcc_de[3];pcm_fftMag_mfcc_de[4];pcm_fftMag_mfcc_de[5];pcm_fftMag_mfcc_de[6];pcm_fftMag_mfcc_de[7];pcm_fftMag_mfcc_de[8];pcm_fftMag_mfcc_de[9];pcm_fftMag_mfcc_de[10];pcm_fftMag_mfcc_de[11];pcm_fftMag_mfcc_de[12];pcm_fftMag_mfcc_de_de[0];pcm_fftMag_mfcc_de_de[1];pcm_fftMag_mfcc_de_de[2];pcm_fftMag_mfcc_de_de[3];pcm_fftMag_mfcc_de_de[4];pcm_fftMag_mfcc_de_de[5];pcm_fftMag_mfcc_de_de[6];pcm_fftMag_mfcc_de_de[7];pcm_fftMag_mfcc_de_de[8];pcm_fftMag_mfcc_de_de[9];pcm_fftMag_mfcc_de_de[10];pcm_fftMag_mfcc_de_de[11];pcm_fftMag_mfcc_de_de[12]
'unknown';0.000000;2.195114e+01;-6.968594e+01;-2.905494e+01;1.963945e+01;-9.328547e+00;8.469618e+00;4.293293e+01;7.107017e+00;-5.377837e+00;-2.097960e+00;-2.913650e+01;-1.362174e+01;1.343020e+02;-1.558682e+00;-1.966380e+00;-2.200277e-01;-5.767312e+00;-6.245061e+00;3.448210e+00;1.696061e+00;-2.685218e+00;1.109815e+00;5.825304e-01;5.856468e-01;3.668521e+00;-1.214302e+00;9.003229e-01;-4.094160e-01;1.821855e+00;9.317078e-02;1.360610e-01;9.961348e-01;-2.721859e+00;-1.935522e-01;1.134586e+00;-2.512148e+00;4.761201e-02;1.225474e+00;-3.462175e-01
'unknown';0.010000;1.832869e+01;-7.541023e+01;-3.132327e+01;8.691201e+00;-2.677397e+01;1.341375e+01;5.618501e+01;2.356119e+00;-8.242055e+00;5.648839e+00;-2.533034e+01;-1.215839e+01;1.312224e+02;1.352267e+00;-5.132263e+00;4.132123e+00;-5.753106e+00;-8.639503e+00;7.183313e+00;-5.638855e+00;-3.358283e+00;5.708606e+00;-5.882953e+00;1.589613e+00;7.833619e+00;-2.670383e+00;7.241949e-01;7.528005e-01;2.027828e+00;4.145059e-01;2.204280e+00;-1.053027e+00;-1.881287e+00;6.115018e-01;-4.743202e-01;-1.342258e+00;-1.264635e+00;1.054111e+00;-5.328226e-03
'unknown';0.020000;1.596895e+01;-7.665570e+01;-2.902091e+01;-3.722976e+00;-3.183114e+01;2.323860e+01;4.478720e+01;-3.943625e+00;1.603346e+00;-3.058708e+00;-2.811134e+01;3.989191e+00;1.297702e+02;1.487458e+00;-2.430519e+00;6.713173e+00;-5.308560e+00;-4.367535e+00;6.561332e+00;-8.245775e+00;-3.316447e+00;4.483351e+00;-8.745470e+00;3.217239e-01;7.713340e+00;-2.217349e+00;-3.960448e-01;2.599208e+00;9.856739e-01;-6.230116e-03;4.485735e+00;-4.482114e+00;1.808963e+00;9.853092e-01;-3.254122e+00;1.620674e+00;-2.103737e+00;8.220591e-02;4.732452e-01
'unknown';0.030000;3.170356e+01;-9.186238e+01;-8.411339e+00;2.555137e+00;-4.127477e+01;3.700169e+01;1.381153e+01;-4.159075e+00;1.967460e+01;-3.103235e+01;-2.170101e+01;1.674089e+01;1.232159e+02;5.392226e-01;2.029691e+00;6.452512e+00;-3.924158e+00;3.837579e+00;-3.373487e+00;-2.739457e+00;6.879051e-01;-2.948554e+00;-1.464759e+00;-5.605567e+00;6.916665e+00;-7.394196e-01;-2.040689e+00;4.087145e+00;-1.076605e+00;-1.118811e+00;6.057618e+00;-7.854361e+00;5.458707e+00;7.555531e-01;-5.741577e+00;4.186071e+00;-1.846077e+00;-1.935179e+00;9.632970e-01
'unknown';0.040000;2.270099e+01;-7.361246e+01;-6.945043e+00;-3.835314e+00;-2.391582e+01;2.948231e+01;2.289080e+01;-6.217619e+00;3.080589e+00;-2.748472e+01;-2.934254e+01;1.049532e+01;1.272185e+02;-3.132384e+00;7.448683e+00;3.548148e+00;-6.712936e+00;9.945076e+00;-1.368396e+01;9.291178e+00;2.182341e-01;-1.083222e+01;6.476802e+00;-6.335450e+00;4.538028e+00;1.864426e-01;-1.691966e+00;2.573512e+00;-1.400549e+00;-1.653968e+00;4.676461e+00;-6.703665e+00;4.836927e+00;6.391643e-01;-4.057419e+00;2.180477e+00;4.998984e-01;-3.179088e+00;5.569221e-01
'unknown';0.050000;1.765878e+01;-6.678339e+01;-1.009865e+01;-1.087342e+01;-1.154373e+01;-6.575541e+00;5.343592e+01;6.932642e+00;-2.372345e+01;1.053805e+01;-5.274257e+01;1.917187e+01;1.288012e+02;-6.541255e+00;1.036386e+01;3.316105e-01;-1.064497e+01;1.449228e+01;-2.196584e+01;1.288621e+01;-1.347857e+00;-1.534150e+01;7.436269e+00;-4.312185e+00;-2.546181e-01;9.442062e-01;-2.584028e-01;3.561360e-01;-8.831749e-02;-1.191873e+00;1.556442e+00;-5.493453e-01;-8.513608e-02;-3.332774e-01;9.355659e-01;-2.629751e+00;3.295390e+00;-2.987771e+00;1.080936e-03
'unknown';0.060000;7.329421e+00;-5.195178e+01;-1.043652e+01;-3.057338e+01;3.028718e+00;-2.339259e+01;7.143089e+01;-8.398314e+00;-3.085872e+01;8.540101e+00;-4.426781e+01;2.546384e+01;1.279098e+02;-3.432134e+00;6.269956e+00;2.770880e+00;-1.021799e+01;1.368742e+01;-1.766082e+01;8.126029e+00;8.972557e-01;-9.607274e+00;-2.293601e+00;2.174525e+00;-4.596457e+00;-2.745514e-01;1.304848e+00;-1.192866e+00;1.160191e+00;8.779055e-01;-1.451662e+00;5.117716e+00;-4.036235e+00;-7.161155e-02;4.702695e+00;-3.717081e+00;2.885898e+00;-7.631986e-01;-1.599378e-01
'unknown';0.070000;6.683074e+00;-5.087342e+01;-5.007547e+00;-3.730068e+01;1.771437e+01;-4.639008e+01;5.397251e+01;-9.808016e+00;-4.006324e+01;-1.186342e+01;-3.579930e+01;7.983535e+00;1.275913e+02;-6.029160e-01;4.399735e+00;6.399558e+00;-8.130994e+00;9.748614e+00;-4.131785e+00;-2.582563e+00;-1.317993e+00;1.116803e+00;-1.022831e+01;6.616396e+00;-3.454947e+00;-5.035179e-01;1.539250e+00;-1.033039e+00;8.744742e-01;2.411202e+00;-3.352227e+00;6.732988e+00;-2.984826e+00;-8.980884e-02;6.190522e+00;-1.037607e+00;-9.280300e-02;2.126153e+00;-1.312939e-01
'unknown';0.080000;1.102818e+01;-5.021767e+01;4.363807e+00;-4.171166e+01;2.989223e+01;-3.891450e+01;6.325265e+01;6.638988e+00;-3.678588e+01;-2.775199e+01;-2.694155e+01;-6.892802e+00;1.264507e+02;4.226867e-01;4.466418e+00;6.315127e+00;-3.580397e+00;5.058600e+00;2.987591e+00;-3.155612e+00;-1.547561e-01;4.452105e+00;-3.276313e+00;2.629747e+00;2.322199e+00;1.106155e-01;3.159798e-01;6.088749e-01;-1.675784e+00;2.700094e+00;-2.650796e+00;3.472633e+00;-5.040075e-01;-1.411958e+00;4.545833e+00;3.233963e+00;-3.055833e+00;3.050071e+00;4.472030e-02
'unknown';0.090000;1.279483e+01;-4.565177e+01;1.449897e+01;-4.595924e+01;2.376759e+01;-1.947351e+01;4.461223e+01;-7.175972e+00;-1.517585e+01;-2.245747e+01;-2.832372e+01;1.807546e+01;1.270132e+02;-7.724169e-01;6.100436e+00;2.931858e+00;-1.907758e+00;2.045555e+00;1.374895e+00;3.602895e+00;-1.270896e+00;8.581422e+00;2.739588e+00;-5.003811e+00;6.916820e+00;9.515305e-02;-2.631351e-01;1.516198e+00;-3.853318e+00;1.772488e+00;2.814197e-03;-7.680616e-01;1.627185e+00;-2.386662e+00;1.382248e+00;5.071758e+00;-3.266539e+00;-3.973382e-01;-2.677353e-01
'unknown';0.100000;6.386978e+00;-3.223051e+01;1.138586e+01;-4.414608e+01;2.529511e+01;-2.191291e+01;6.033297e+01;-1.048812e+01;-2.104189e+01;-2.544440e+00;-3.485686e+01;3.202888e+01;1.287519e+02;-1.767485e+00;8.463980e+00;-3.874187e+00;1.708588e-01;4.284971e+00;-3.050989e+00;2.513263e+00;-6.186080e+00;9.389584e+00;7.392266e+00;-7.294535e+00;5.468015e+00;-3.502854e-01;1.476576e-02;1.843547e+00;-3.988751e+00;-6.514302e-01;2.419919e+00;-1.011568e+00;-1.119779e+00;-3.143689e+00;1.434297e-01;2.844326e+00;-2.685172e-01;-5.060139e+00;-7.492773e-01
'unknown';0.110000;5.141590e+00;-2.936482e+01;6.140718e+00;-4.562226e+01;3.024070e+01;-4.801640e+01;7.344682e+01;-7.598942e+00;-5.028126e+00;-1.076925e+01;-5.686070e+01;2.310680e+01;1.269164e+02;-8.235058e-01;9.981944e+00;-7.772376e+00;-1.144182e+00;1.014950e+01;-4.952803e+00;2.718924e+00;-1.023564e+01;5.559304e+00;9.796187e+00;-4.754156e+00;-7.014545e+00;-1.611744e+00;5.022478e-01;1.195789e+00;-2.108799e+00;-2.689217e+00;4.017263e+00;1.827193e+00;-4.966868e+00;-7.184764e-01;-6.781378e-02;-8.449470e-01;3.428960e+00;-5.200427e+00;-7.969164e-01
'unknown';0.120000;6.017374e+00;-1.604125e+01;-1.082800e+01;-4.102586e+01;4.808053e+01;-3.989800e+01;6.140167e+01;-2.407993e+01;5.088174e+00;3.365234e+00;-4.914574e+01;1.793160e+01;1.247476e+02;5.220600e-01;1.174340e+01;-8.276513e+00;-7.219336e+00;1.310622e+01;1.093601e+00;-8.312523e+00;-1.139083e+01;6.680312e+00;7.417019e+00;1.162334e+00;-1.601281e+01;-2.782323e+00;3.278776e-01;-8.451786e-01;1.194638e+00;-2.998388e+00;2.073211e+00;3.152396e+00;-5.794606e+00;3.251055e+00;1.090706e+00;-5.643022e+00;4.335342e+00;-7.018885e-01;-3.227889e-01
